BID,Plot,math,constructive algorithm,search,brute force,geometry,string,data structures,sortings,dp
1/A,theatre square capital city berland rectangular shape size meter occasion city anniversary decision taken pave square square granite flagstone flagstone size least flagstone needed pave square allowed cover surface larger theatre square square covered allowed break flagstone side flagstone parallel side square input positive write needed flagstone,1,0,0,0,0,0,0,0,0
10/B,cinema hall berland rectangle row seat odd row seat numbered safety reason people come box office buy ticket allowed choose seat formerly choice made cashier responsibility special seating program found large majority berland inhabitant cinema order watch movie want sit close hall center possible moreover company people come watch movie want necessarily occupy successive seat row let formulate algorithm according program chooses seat sell ticket request seat come program determine row segment seat row possible variant final result program choose minimum function value total seat remoteness center say row seat central seat function value seat remoteness hall center amount minimum function value program choose closer screen row lower variant still multiple choose minimum get task simulate work program amount request hall size respectively second space separated range request program output output without quote impossible find successive seat row otherwise output separate space,0,0,0,0,0,0,0,0,1
10/D,problem differs online contest sequence called increasing sequence called subsequence sequence exist set index aij word sequence derived sequence crossing element given sequence find longest common increasing subsequence increasing sequence maximum length subsequence sequence length sequence second space separated range element sequence third length second sequence fourth space separated range element second sequence output length longest common increasing subsequence second output subsequence separate element space several solution output,0,0,0,0,0,0,0,0,1
1000/A,codehorses hosted second codehorses cup year previous organizer giving shirt winner valid size shirt either followed example size xxxl valid xxxxl winner cup previous year current year ksenia list shirt size printed last year cup send new list printing office organizer want distribute prize soon possible ksenia required write whole list scratch make change list previous year second choose arbitrary position word replace character uppercase latin letter ksenia remove add letter word minimal second ksenia required spend change last year list current list unordered mean list considered equal occurrence string list shirt next size shirt list previous year next size shirt list current year guaranteed size input valid guaranteed ksenia produce list list print minimal second ksenia required spend change last year list current list already equal print,0,0,0,0,0,0,0,1,0
1000/B,recently bought brand new smart lamp programming feature set schedule lamp every day turn power moment turn power moment moreover lamp allows set program switching state state light light unfortunately program already installed lamp lamp allows good program good program represented non empty array must course preinstalled program good program lamp follows program next manner moment turn power light moment lamp flip state opposite lit turn vice versa state lamp flip instantly example turn light moment nothing total time lamp lit finally moment lamp turning power regardless state since people read instruction understand language written realize testing possible way alter preinstalled program insert element program still good program alteration insertion done pair consecutive element even begining end find way alter program total time lamp lit maximum possible maybe leave program untouched lamp lit till moment lit unit time segment time lamp lit summed space separated length program moment power turn second space separated initially installed program print maximum possible total time lamp lit,0,0,0,0,0,0,0,1,0
1000/C,given segment coordinate endpoint every segment coordinate segment degenerate point segment intersect nested even coincide task following every calculate point coordinate segment cover point equal segment endpoint cover point input segment next segment pair endpoint segment print space separated equal point segment cover point equal,0,0,0,0,0,0,1,1,0
1000/D,sequence called good array example sequence good array sequence sequence called good divided positive good array good array subsegment sequence element sequence belong exactly array example sequence good sequence given sequence count subsequence good sequence print subsequence modulo length initial sequence following sequence single output subsequence original sequence good sequence taken modulo,1,0,0,0,0,0,0,0,1
1000/E,friend developing computer game already decided game world look like consist location connected way passage passage designed way possible get location location course passage guarded monster everywhere without difficulty fun right crucial passage guarded really fearsome monster requiring hero prepare battle designing tactic defeating commonly kind monster called bos friend want help place bos game start location end location location chosen choosing location friend place bos passage impossible get without using passage friend want place much bos possible challenge mean fun right asks help determine maximum possible bos considering location chosen location passage respectively follow containing describing endpoint passage guaranteed pair location directly connected passage location reachable location print maximum bos friend place considering possible choice,0,0,0,0,0,0,1,0,0
1000/F,given array consisting query query denoted query find occurs exactly subarray index index subarray contiguous subsegment array example query subarray interested possible answer query subarray interested element occurs exactly answer query second third follow containing representing query answer query follows,0,0,0,0,0,0,1,0,0
1000/G,given weighted tree undirected connected graph cycle loop multiple edge vertex edge weight vertex value assigned let call path starting vertex ending vertex edge appear twice regardless direction path vertex appear path multiple time even start end vertex path profit distinct vertex distinct edge time edge appears vertex counted edge counted time appear answer query query pair vertex query find path maximal profit vertex tree query second space separated value vertex next description edge space separated edge weight tree next query per query endpoint path need find query print per maximal profit path corresponding endpoint,0,0,0,0,0,0,1,0,1
1003/A,polycarp coin value coin polycarp want distribute coin pocket put coin value pocket example polycarp got coin represented array distribute coin pocket follows polycarp want distribute coin minimum used pocket help input coin second input value coin print minimum pocket polycarp need distribute coin coin value put pocket,0,0,0,0,0,0,0,0,0
1003/B,given task construct binary string length exactly exactly exactly index guaranteed answer always exists example string index string index recall binary string non empty sequence character character either input print string binary string satisfying condition described guaranteed answer always exists,0,1,0,0,0,0,0,0,0
1003/C,heat last day really intense scientist berland study temperature weather change claim summer abnormally hot scientific claim sound lot reasonable involved decided actually calculate value would represent high temperature mathematician berland state university came special heat intensity value value calculated follows suppose want analyze segment consecutive day measured temperature day temperature day equal denote average temperature segment consecutive day arithmetic mean temperature measure segment day want analyze average temperature day day calculate note division performed without rounding heat intensity value maximum average temperature segment consecutive day example analyzing measure interested segment want find maximum value average temperature segment hired berland state university write program would compute heat intensity value given period day task day given period minimum day segment consider calculating heat intensity value respectively second temperature measure given day print real heat intensity value maximum average temperature segment consecutive day,1,0,0,1,0,0,0,0,0
1003/D,polycarp coin value coin guaranteed value power non negative polycarp want know answer query query described answer query minimum coin necessary obtain value using subset coin polycarp use coin polycarp obtain value answer query query independent answer query affect polycarp coin input coin query second input value coin guaranteed power non negative next value query print must equal answer query polycarp obtain value answer query,0,0,0,0,0,0,0,1,0
