,background,input,output,math,dp,implementation,greedy,data structures,sortings,combinatorics,dfs,graphs,trees,divide and conquer,constructive algorithms,brute force,strings,binary search,bitmasks,number theory,two pointers,dsu,geometry
3363,You are given two lists of non-zero digits. Let's call an integer pretty if its (base 10) representation has at least one digit from the first list and at least one digit from the second list. What is the smallest positive pretty integer?," The first line contains two integers n and m (1___,___9)   the lengths of the first and the second lists, respectively. The second line contains n distinct digits a1,_2,...,_n (1___i__9)   the elements of the first list. The third line contains m distinct digits b1,_2,...,_m (1___i__9)   the elements of the second list.",Print the smallest pretty integer.,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3424,"There are two main kinds of events in the life of top-model: fashion shows and photo shoots. Participating in any of these events affects the rating of appropriate top-model. After each photo shoot model's rating increases by a and after each fashion show decreases by b (designers do too many experiments nowadays). Moreover, sometimes top-models participates in talk shows. After participating in talk show model becomes more popular and increasing of her rating after photo shoots become c and decreasing of her rating after fashion show becomes d. Izabella wants to participate in a talk show, but she wants to do it in such a way that her rating will never become negative. Help her to find a suitable moment for participating in the talk show. Let's assume that model's career begins in moment 0. At that moment Izabella's rating was equal to start. If talk show happens in moment t if will affect all events in model's life in interval of time [t..t+_en) (including t and not including t+_en), where len is duration of influence. Izabella wants to participate in a talk show, but she wants to do it in such a way that her rating will not become become negative before talk show or during period of influence of talk show. Help her to find a suitable moment for participating in the talk show."," In first line there are 7 positive integers n, a, b, c, d, start, len (1_____3·105, 0___tart__109, 1___,_,_,_,_en__109), where n is a number of fashion shows and photo shoots, a, b, c and d are rating changes described above, start is an initial rating of model and len is a duration of influence of talk show. In next n lines descriptions of events are given. Each of those lines contains two integers ti and qi (1___i__109, 0_____1)   moment, in which event happens and type of this event. Type 0 corresponds to the fashion show and type 1   to photo shoot. Events are given in order of increasing ti, all ti are different.","Print one non-negative integer t   the moment of time in which talk show should happen to make Izabella's rating non-negative before talk show and during period of influence of talk show. If there are multiple answers print smallest of them. If there are no such moments, print -1.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3024,"Earlier, when there was no Internet, each bank had a lot of offices all around Bankopolis, and it caused a lot of problems. Namely, each day the bank had to collect cash from all the offices. Once Oleg the bank client heard a dialogue of two cash collectors. Each day they traveled through all the departments and offices of the bank following the same route every day. The collectors started from the central department and moved between some departments or between some department and some office using special roads. Finally, they returned to the central department. The total number of departments and offices was n, the total number of roads was n-1. In other words, the special roads system was a rooted tree in which the root was the central department, the leaves were offices, the internal vertices were departments. The collectors always followed the same route in which the number of roads was minimum possible, that is 2n-2. One of the collectors said that the number of offices they visited between their visits to offices a and then b (in the given order) is equal to the number of offices they visited between their visits to offices b and then a (in this order). The other collector said that the number of offices they visited between their visits to offices c and then d (in this order) is equal to the number of offices they visited between their visits to offices d and then c (in this order). The interesting part in this talk was that the shortest path (using special roads only) between any pair of offices among a, b, c and d passed through the central department. Given the special roads map and the indexes of offices a, b, c and d, determine if the situation described by the collectors was possible, or not."," The first line contains single integer n (5_____5000)   the total number of offices and departments. The departments and offices are numbered from 1 to n, the central office has index 1. The second line contains four integers a, b, c and d (2___,_,_,____)   the indexes of the departments mentioned in collector's dialogue. It is guaranteed that these indexes are offices (i.e. leaves of the tree), not departments. It is guaranteed that the shortest path between any pair of these offices passes through the central department. On the third line n-1 integers follow: p2,_3,...,_n (1___i<_), where pi denotes that there is a special road between the i-th office or department and the pi-th department. Please note the joint enumeration of departments and offices. It is guaranteed that the given graph is a tree. The offices are the leaves, the departments are the internal vertices.","If the situation described by the cash collectors was possible, print ""YES"". Otherwise, print ""NO"".",0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2341,"Your friend recently gave you some slimes for your birthday. You have a very large amount of slimes with value 1 and 2, and you decide to invent a game using these slimes. You initialize a row with n empty spaces. You also choose a number p to be used in the game. Then, you will perform the following steps while the last space is empty. With probability , you will choose a slime with value 1, and with probability , you will choose a slime with value 2. You place the chosen slime on the last space of the board. You will push the slime to the left as far as possible. If it encounters another slime, and they have the same value v, you will merge the slimes together to create a single slime with value v+1. This continues on until the slime reaches the end of the board, or encounters a slime with a different value than itself. You have played the game a few times, but have gotten bored of it. You are now wondering, what is the expected sum of all values of the slimes on the board after you finish the game."," The first line of the input will contain two integers n,_ (1_____109,1___<109).",Print the expected sum of all slimes on the board after the game finishes. Your answer will be considered correct if its absolute or relative error does not exceed 10-4.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2316,"Oleg Petrov loves crossword puzzles and every Thursday he buys his favorite magazine with crosswords and other word puzzles. In the last magazine Oleg found a curious puzzle, and the magazine promised a valuable prize for it's solution. We give a formal description of the problem below. The puzzle field consists of two rows, each row contains n cells. Each cell contains exactly one small English letter. You also are given a word w, which consists of k small English letters. A solution of the puzzle is a sequence of field cells c1, ..., ck, such that: For all i from 1 to k the letter written in the cell ci matches the letter wi; All the cells in the sequence are pairwise distinct; For all i from 1 to k-1 cells ci and ci+1 have a common side. Oleg Petrov quickly found a solution for the puzzle. Now he wonders, how many distinct solutions are there for this puzzle. Oleg Petrov doesn't like too large numbers, so calculate the answer modulo 109+7. Two solutions ci and c'i are considered distinct if the sequences of cells do not match in at least one position, that is there is such j in range from 1 to k, such that cj___'j."," The first two lines contain the state of the field for the puzzle. Each of these non-empty lines contains exactly n small English letters. The next line is left empty. The next line is non-empty and contains word w, consisting of small English letters. The length of each line doesn't exceed 2000.",Print a single integer   the number of distinct solutions for the puzzle modulo 109+7.,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3621,"Anya and Kirill are doing a physics laboratory work. In one of the tasks they have to measure some value n times, and then compute the average value to lower the error. Kirill has already made his measurements, and has got the following integer values: x1, x2, ..., xn. It is important that the values are close to each other, namely, the difference between the maximum value and the minimum value is at most 2. Anya does not want to make the measurements, however, she can't just copy the values from Kirill's work, because the error of each measurement is a random value, and this coincidence will be noted by the teacher. Anya wants to write such integer values y1, y2, ..., yn in her work, that the following conditions are met: the average value of x1,_2,...,_n is equal to the average value of y1,_2,...,_n; all Anya's measurements are in the same bounds as all Kirill's measurements, that is, the maximum value among Anya's values is not greater than the maximum value among Kirill's values, and the minimum value among Anya's values is not less than the minimum value among Kirill's values; the number of equal measurements in Anya's work and Kirill's work is as small as possible among options with the previous conditions met. Formally, the teacher goes through all Anya's values one by one, if there is equal value in Kirill's work and it is not strike off yet, he strikes off this Anya's value and one of equal values in Kirill's work. The number of equal measurements is then the total number of strike off values in Anya's work. Help Anya to write such a set of measurements that the conditions above are met."," The first line contains a single integer n (1_____100000)   the numeber of measurements made by Kirill. The second line contains a sequence of integers x1,_2,...,_n (-100000___i__100000)   the measurements made by Kirill. It is guaranteed that the difference between the maximum and minimum values among values x1,_2,...,_n does not exceed 2.",In the first line print the minimum possible number of equal measurements.,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,"Polycarp is an introvert person. In fact he is so much of an introvert that he plays ""Monsters and Potions"" board game alone. The board of the game is a row of n n cells. The cells are numbered from 1 1 to n n from left to right. There are three types of cells: a cell containing a single monster, a cell containing a single potion or a blank cell (it contains neither a monster nor a potion). Polycarp has m m tokens representing heroes fighting monsters, which are initially located in the blank cells s 1 , s 2 ,, s m s . Polycarp's task is to choose a single cell (rally point) and one by one move all the heroes into this cell. A rally point can be a cell of any of three types. After Policarp selects a rally point, he picks a hero and orders him to move directly to the point. Once that hero reaches the point, Polycarp picks another hero and orders him also to go to the point. And so forth, until all the heroes reach the rally point cell. While going to the point, a hero can not deviate from the direct route or take a step back. A hero just moves cell by cell in the direction of the point until he reaches it. It is possible that multiple heroes are simultaneously in the same cell. Initially the i i -th hero has h i h hit points (HP). Monsters also have HP, different monsters might have different HP. And potions also have HP, different potions might have different HP. If a hero steps into a cell which is blank (i.e. doesn't contain a monster/potion), hero's HP does not change. If a hero steps into a cell containing a monster, then the hero and the monster fight. If monster's HP is strictly higher than hero's HP, then the monster wins and Polycarp loses the whole game. If hero's HP is greater or equal to monster's HP, then the hero wins and monster's HP is subtracted from hero's HP. I.e. the hero survives if his HP drops to zero, but dies (and Polycarp looses) if his HP becomes negative due to a fight. If a hero wins a fight with a monster, then the monster disappears, and the cell becomes blank. If a hero steps into a cell containing a potion, then the hero drinks the potion immediately. As a result, potion's HP is added to hero's HP, the potion disappears, and the cell becomes blank. Obviously, Polycarp wants to win the game. It means that he must choose such rally point and the order in which heroes move, that every hero reaches the rally point and survives. I.e. Polycarp loses if a hero reaches rally point but is killed by a monster at the same time. Polycarp can use any of n n cells as a rally point  initially it can contain a monster, a potion, or be a blank cell with or without a hero in it. Help Polycarp write a program to choose a rally point and the order in which heroes move."," The first line of the input contains two integers n n and m m ( 1_100 1 ; 1__ 1 )  length of the game board and the number of heroes on it. The following m m lines describe heroes. Each line contains two integers s i s and h i h ( 1 s i _ 1 ; 1 h i  10 6 1 ), where s i s is the initial position and h i h is the initial HP of the i i -th hero. It is guaranteed that each cell s i s is blank. It is also guaranteed that all s i s are different. The following line contains n n integers a 1 , a 2 ,, a n a (  10 6  a j  10 6  ), where a j a describes the i i -th cell of the game board: a j =0 a means that the i i -th cell is blank, a j <0 a means that the i i -th cell contains monster with positive HP of  a j  , a j >0 a means that the i i -th cell contains potion with a j a HP.",On the first line of the output print the index of the rally point cell.,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2282,"Sean is trying to save a large file to a USB flash drive. He has n USB flash drives with capacities equal to a1,_2,...,_n megabytes. The file size is equal to m megabytes. Find the minimum number of USB flash drives needed to write Sean's file, if he can split the file between drives."," The first line contains positive integer n (1_____100)   the number of USB flash drives. The second line contains positive integer m (1_____105)   the size of Sean's file. Each of the next n lines contains positive integer ai (1___i__1000)   the sizes of USB flash drives in megabytes. It is guaranteed that the answer exists, i. e. the sum of all ai is not less than m.","Print the minimum number of USB flash drives to write Sean's file, if he can split the file between drives.",0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3795,"It's marriage season in Ringland! Ringland has a form of a circle's boundary of length L L . There are n n bridegrooms and n n brides, and bridegrooms decided to marry brides. Of course, each bridegroom should choose exactly one bride, and each bride should be chosen by exactly one bridegroom. All objects in Ringland are located on the boundary of the circle, including the capital, bridegrooms' castles and brides' palaces. The castle of the i i -th bridegroom is located at the distance a i a from the capital in clockwise direction, and the palace of the i i -th bride is located at the distance b i b from the capital in clockwise direction. Let's define the inconvenience of a marriage the maximum distance that some bride should walk along the circle from her palace to her bridegroom's castle in the shortest direction (in clockwise or counter-clockwise direction). Help the bridegrooms of Ringland to choose brides in such a way that the inconvenience of the marriage is the smallest possible."," The first line contains two integers n n and L L ( 1_2 10 5 1 , 1_ 10 9 1 )   the number of bridegrooms and brides and the length of Ringland. The next line contains n n integers a 1 , a 2 ,, a n a ( 0 a i <L 0 )   the distances from the capital to the castles of bridegrooms in clockwise direction. The next line contains n n integers b 1 , b 2 ,, b n b ( 0 b i <L 0 )   the distances from the capital to the palaces of brides in clockwise direction.","In the only line print the smallest possible inconvenience of the wedding, where the inconvenience is the largest distance traveled by a bride.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3311,"In a building where Polycarp lives there are equal number of flats on each floor. Unfortunately, Polycarp don't remember how many flats are on each floor, but he remembers that the flats are numbered from 1 from lower to upper floors. That is, the first several flats are on the first floor, the next several flats are on the second and so on. Polycarp don't remember the total number of flats in the building, so you can consider the building to be infinitely high (i.e. there are infinitely many floors). Note that the floors are numbered from 1. Polycarp remembers on which floors several flats are located. It is guaranteed that this information is not self-contradictory. It means that there exists a building with equal number of flats on each floor so that the flats from Polycarp's memory have the floors Polycarp remembers. Given this information, is it possible to restore the exact floor for flat n?"," The first line contains two integers n and m (1_____100, 0_____100), where n is the number of the flat you need to restore floor for, and m is the number of flats in Polycarp's memory. m lines follow, describing the Polycarp's memory: each of these lines contains a pair of integers ki,_i (1___i__100, 1___i__100), which means that the flat ki is on the fi-th floor. All values ki are distinct. It is guaranteed that the given information is not self-contradictory.","Print the number of the floor in which the n-th flat is located, if it is possible to determine it in a unique way. Print -1 if it is not possible to uniquely restore this floor.",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
