,BID,Plot,math,dp,implementation,greedy,data structures,sortings,dfs,graphs,trees,constructive algorithms,brute force,strings,binary search,number theory,geometry
0,1/A," The input contains three positive integer numbers in the first line: n,__ and a (1____,_,___109).",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10/B," The first line contains two integers N and K (1_____1000,1_____99)   the amount of requests and the hall size respectively. The second line contains N space-separated integers Mi from the range [1,_]   requests to the program.",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2,10/D," The first line contains an integer n (1_____500)   the length of the first sequence. The second line contains n space-separated integers from the range [0,109]   elements of the first sequence. The third line contains an integer m (1_____500)   the length of the second sequence. The fourth line contains m space-separated integers from the range [0,109]   elements of the second sequence.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1000/A, The first line contains one integer n n ( 1_100 1 )  the number of T-shirts. The i i -th of the next n n lines contains a i a  the size of the i i -th T-shirt of the list for the previous year. The i i -th of the next n n lines contains b i b  the size of the i i -th T-shirt of the list for the current year. It is guaranteed that all the sizes in the input are valid. It is also guaranteed that Ksenia can produce list b b from the list a a .,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
4,1000/B," First line contains two space separated integers n n and M M ( 1_ 10 5 1 , 2_ 10 9 2 )  the length of program a a and the moment when power turns off. Second line contains n n space separated integers a 1 , a 2 ,, a n a ( 0< a 1 < a 2 << a n <M 0 )  initially installed program a a .",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,1000/C," The first line of the input contains one integer n n ( 1_2 10 5 1 )  the number of segments. The next n n lines contain segments. The i i -th line contains a pair of integers l i , r i l ( 0 l i  r i  10 18 0 )  the endpoints of the i i -th segment.",0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
6,1000/D," The first line contains the number n (1_ 10 3 ) n  the length of the initial sequence. The following line contains n n integers a 1 , a 2 ,, a n  ( 10 9  a i  10 9 ) a  the sequence itself.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1000/E," The first line contains two integers n n and m m ( 2_3 10 5 2 , n1_3 10 5 n )  the number of locations and passages, respectively. Then m m lines follow, each containing two integers x x and y y ( 1_,y_ 1 , x_ x ) describing the endpoints of one of the passages. It is guaranteed that there is no pair of locations directly connected by two or more passages, and that any location is reachable from any other location.",0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
8,1000/F," The first line contains one integer n n ( 1_5 10 5 1 ). The second line contains n n integers a 1 , a 2 ,, a n a ( 1 a i 5 10 5 1 ). The third line contains one integer q q ( 1_5 10 5 1 ). Then q q lines follow, i i -th line containing two integers l i l and r i r representing i i -th query ( 1 l i  r i _ 1 ).",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9,1000/G," The first line contains two integers n n and q q ( 2_3 10 5 2 , 1_4 10 5 1 )  the number of vertices in the tree and the number of queries. The second line contains n n space-separated integers a 1 , a 2 ,, a n a (1 a i  10 9 ) (  the values of the vertices. Next n1 n lines contain descriptions of edges: each line contains three space separated integers u i u , v i v and w i w ( 1 u i , v i _ 1 , u i  v i u , 1 w i  10 9 1 )  there is edge { u i , v i } { with weight w i w in the tree. Next q q lines contain queries (one per line). Each query contains two integers q u i q and q v i q (1_ u i ,q v i _) (  endpoints of the 2-path you need to find.",0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
10,1003/A," The first line of the input contains one integer n n ( 1_100 1 )  the number of coins. The second line of the input contains n n integers a 1 , a 2 ,, a n a ( 1 a i 100 1 )  values of coins.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,1003/B," The first line of the input contains three integers a a , b b and x x ( 1_,b100,1_<a+b) 1 .",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12,1003/C," The first line contains two integers n n and k k ( 1__5000 1 )  the number of days in the given period, and the minimum number of days in a segment we consider when calculating heat intensity value, respectively. The second line contains n n integers a 1 a , a 2 a , ..., a n a ( 1 a i 5000 1 )  the temperature measures during given n n days.",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
13,1003/D," The first line of the input contains two integers n n and q q ( 1_,q2 10 5 1 )  the number of coins and the number of queries. The second line of the input contains n n integers a 1 , a 2 ,, a n a  values of coins ( 1 a i 2 10 9 1 ). It is guaranteed that all a i a are integer powers of 2 2 (i.e. a i = 2 d a for some non-negative integer number d d ). The next q q lines contain one integer each. The j j -th line contains one integer b j b  the value of the j j -th query ( 1 b j  10 9 1 ).",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14,1003/E," The first line of the input contains three integers n n , d d and k k ( 1_,d,k4 10 5 1 ).",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
15,1003/F," The first line of the input contains one integer n n ( 1_300 1 )  the number of words in the text. The next line contains n n space-separated words of the text w 1 , w 2 ,, w n w . Each word consists only of lowercase Latin letters. It is guaranteed that the length of text does not exceed 10 5 10 .",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
16,1004/A," The first line contains two integers n n and d d ( 1_100 1 , 1_ 10 9 1 )  the number of Sonya's hotels and the needed minimum distance from a new hotel to all others. The second line contains n n different integers in strictly increasing order x 1 , x 2 ,, x n x (  10 9  x i  10 9  )  coordinates of Sonya's hotels.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17,1004/B," The first line contains two integers n n and m m ( 1_,m 10 3 1 )  the number of flowers and visitors respectively. Each of the next m m lines contains two integers l i l and r i r ( 1 l i  r i _ 1 ), meaning that i i -th visitor will visit all flowers from l i l to r i r inclusive.",1,0,1,1,0,0,0,0,0,1,0,0,0,0,0
18,1004/C," The first line contains a single integer n n ( 1_ 10 5 1 )  the number of numbers in a row. The second line contains n n integers a 1 , a 2 ,, a n a ( 1 a i  10 5 1 )  the numbers in a row.",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
19,1004/D," The first line contains a single integer t t ( 1_ 10 6 1 )  the number of cells in the matrix. The second line contains t t integers a 1 , a 2 ,, a t a ( 0 a i <t 0 )  the values in the cells in arbitrary order.",0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
20,1004/E," The first line contains two integers n n and k k ( 1__ 10 5 1 )  the number of junctions and friends respectively. Each of the next n1 n lines contains three integers u i u , v i v , and d i d ( 1 u i , v i _ 1 , v i  u i v , 1_ 10 4 1 )  junctions that are connected by a street and the length of this street. It is guaranteed that each pair of junctions is connected by at most one street. It is guaranteed that you can get from any junctions to any other.",0,1,0,1,1,0,0,0,1,0,0,0,1,0,0
21,1004/F," The first line contains three integers n n , m m , and x x ( 1_,m 10 5 1 , 0_< 2 20 0 )  the number of numbers, the number of queries, and the constant for all queries. The second line contains n n integers a 1 , a 2 ,, a n a ( 0 a i < 2 20 0 )  numbers of the array. The following m m lines each describe an query. A line has one of the following formats: 1 1 i i y y ( 1__ 1 , 0_< 2 20 0 ), meaning that you have to replace a i a by y y ; 2 2 l l r r ( 1___ 1 ), meaning that you have to find the number of subarrays on the segment from l l to r r that the bitwise OR of all numbers there is at least x x .",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
22,1005/A," The first line contains n n ( 1_1000 1 )  the total number of numbers pronounced by Tanya. The second line contains integers a 1 , a 2 ,, a n a ( 1 a i 1000 1 )  all the numbers Tanya pronounced while climbing the stairs, in order from the first to the last pronounced number. Passing a stairway with x x steps, she will pronounce the numbers 1,2,,x 1 in that order. The given sequence will be a valid sequence that Tanya could have pronounced when climbing one or more stairways.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
23,1005/B," The first line of the input contains s s . In the second line of the input contains t t . Both strings consist only of lowercase Latin letters. The number of letters in each string is between 1 and 2 10 5 2 , inclusive.",0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
24,1005/C," The first line contains the integer n n ( 1_120000 1 )  the length of the given sequence. The second line contains the sequence of integers a 1 , a 2 ,, a n a ( 1 a i  10 9 1 ).",0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
25,1005/D," The first line of the input contains a positive integer s s . The number of digits of the number s s is between 1 1 and 2 10 5 2 , inclusive. The first (leftmost) digit is not equal to 0.",0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
26,1005/E1," The first line contains integers n n and m m ( 1_2 10 5 1 , 1__ 1 )  the length of the given sequence and the required value of the median. The second line contains a permutation p 1 , p 2 ,, p n p ( 1 p i _ 1 ). Each integer between 1 1 and n n occurs in p p exactly once.",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
27,1005/E2," The first line contains integers n n and m m ( 1_,m2 10 5 1 )  the length of the given sequence and the required value of the median. The second line contains an integer sequence a 1 , a 2 ,, a n a ( 1 a i 2 10 5 1 ).",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
28,1005/F," The first line of the input contains integers n n , m m and k k ( 2_2 10 5 ,n1_2 10 5 ,1_2 10 5 2 ), where n n is the number of cities in the country, m m is the number of roads and k k is the number of options to choose a set of roads for repair. It is guaranteed that m_ 10 6 m . The following m m lines describe the roads, one road per line. Each line contains two integers a i a , b i b ( 1 a i , b i _ 1 , a i  b i a )  the numbers of the cities that the i i -th road connects. There is at most one road between a pair of cities. The given set of roads is such that you can reach any city from the capital.",0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
29,1006/A," The first line of the input contains one integer number n n ( 1_1000 1 )  the number of elements in Mishka's birthday present (surprisingly, an array). The second line of the input contains n n integers a 1 , a 2 ,, a n a ( 1 a i  10 9 1 )  the elements of the array.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
30,1006/B," The first line of the input contains two integers n n and k k ( 1__2000 1 )  the number of problems and the number of days, respectively. The second line of the input contains n n integers a 1 , a 2 ,, a n a ( 1 a i 2000 1 )  difficulties of problems in Polycarp's list, in the order they are placed in the list (i.e. in the order Polycarp will solve them).",0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
31,1006/C," The first line of the input contains one integer n n ( 1_2 10 5 1 )  the number of elements in the array d d . The second line of the input contains n n integers d 1 , d 2 ,, d n d ( 1 d i  10 9 1 )  the elements of the array d d .",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
32,1006/D, The first line of the input contains one integer n n ( 1_ 10 5 1 )  the length of strings a a and b b . The second line contains the string a a consisting of exactly n n lowercase English letters. The third line contains the string b b consisting of exactly n n lowercase English letters.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33,1006/E," The first line of the input contains two integers n n and q q ( 2_2 10 5 ,1_2 10 5 2 )  the number of officers in Berland army and the number of queries. The second line of the input contains n1 n integers p 2 , p 3 ,, p n p ( 1 p i <i 1 ), where p i p is the index of the direct superior of the officer having the index i i . The commander has index 1 1 and doesn't have any superiors. The next q q lines describe the queries. The i i -th query is given as a pair ( u i , k i u ) ( 1 u i , k i _ 1 ), where u i u is the index of the officer which starts spreading a command, and k i k is the index of the required officer in the command spreading sequence.",0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
34,1006/F," The first line of the input contains three integers n n , m m and k k ( 1_,m20 1 , 0_ 10 18 0 )  the height and the width of the grid, and the number k k . The next n n lines contain m m integers each, the j j -th element in the i i -th line is a i,j a ( 0 a i,j  10 18 0 ).",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
35,1007/A," The first line contains a single integer n n ( 1_ 10 5 1 )  the length of the array. The second line contains n n integers a 1 , a 2 ,, a n a ( 1 a i  10 9 1 )  the elements of the array.",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
36,1007/B," The first line contains a single integer t t ( 1_ 10 5 1 )  the number of test cases. Each of the next t t lines contains three integers A A , B B and C C ( 1_,B,C 10 5 1 )  the sizes of the parallelepiped.",1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
37,1007/C, The first line contains a single integer n n ( 1_ 10 18 1 )  the upper limit of the numbers.,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
38,1007/D," The first line contains a single integer n n ( 2_ 10 5 2 )  the number of vertices. Each of the next n1 n lines contains two integers u i u and v i v ( 1 u i , v i _ 1 ), meaning that there is an edge between vertices u i u and v i v . The next line contains a single integer m m ( 1_ 10 4 1 )  the number of ants. Each of the next m m lines contains four integers a i a , b i b , c i c , and d i d ( 1 a i , b i , c i , d i _ 1 , a i  b i , c i  d i a ), meaning that pairs ( a i a , b i b ) and ( c i c , d i d ) are favorite for the i i -th ant.",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
39,1007/E," The first line contains three integers n n , t t , and k k ( 1_,t200,1_ 10 9 1 )  the number of stations on the line, hours we want to survive, and capacity of each train respectively. Each of the next n n lines contains three integers a i a , b i b , and c i c ( 0 a i , b i  c i  10 9 0 )  number of people at the i i -th station in the beginning of the game, number of people arriving to i i -th station in the end of each hour and maximum number of people at the i i -th station allowed respectively.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1008/A, The first line of the input contains the string s s consisting of |s| | ( 1|s|100 1 ) lowercase Latin letters.,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
41,1008/B," The first line contains a single integer n n ( 1_ 10 5 1 )  the number of rectangles. Each of the next n n lines contains two integers w i w and h i h ( 1 w i , h i  10 9 1 )  the width and the height of the i i -th rectangle.",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
42,1009/A," The first line of the input contains two integers n n and m m ( 1_,m1000 1 )  the number of games and the number of bills in Maxim's wallet. The second line of the input contains n n integers c 1 , c 2 ,, c n c ( 1 c i 1000 1 ), where c i c is the cost of the i i -th game. The third line of the input contains m m integers a 1 , a 2 ,, a m a ( 1 a j 1000 1 ), where a j a is the value of the j j -th bill from the Maxim's wallet.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
43,1009/B," The first line of the input contains the string s s consisting only of characters '0', '1' and '2', its length is between 1 1 and 10 5 10 (inclusive).",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
44,1009/C," The first line contains two integers n n and m m ( 1_,m 10 5 1 )  the number of elements of the array and the number of changes. Each of the next m m lines contains two integers x i x and d i d (  10 3  x i , d i  10 3  )  the parameters for the i i -th change.",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
45,1009/D," The only line contains two integers n n and m m ( 1_,m 10 5 1 )  the number of vertices and the number of edges.",1,0,0,1,0,0,0,1,0,1,1,0,0,0,0
46,1009/E," The first line contains one number n n ( 1_ 10 6 1 )  the distance from Moscow to Saratov. The second line contains n n integer numbers a 1 a , a 2 a , ..., a n a ( 1 a 1  a 2 ¤â_ a n  10 6 1 ), where a i a is the difficulty of i i -th kilometer after Leha has rested.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,1009/F," The first line contains one integer n n ( 1_ 10 6 1 )  the number of vertices in a tree. Then n1 n lines follow, each containing two integers x x and y y ( 1_,y_ 1 , x_ x ). This line denotes an edge of the tree. It is guaranteed that these edges form a tree.",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
48,1009/G," The first line is the string s s ( 1|s| 10 5 1 )  the name Polycarp has came up with. The string consists only of lowercase Latin letters from ""a"" to ""f"". The second line contains a single integer m m ( 0_|s| 0 )  the number of investors. The i i -th of the next m m lines contain an integer number po s i p and a non-empty string of allowed characters for po s i p ( 1_o s i |s| 1 ). Each string contains pairwise distinct letters from ""a"" to ""f"". po s 1 ,po s 2 ,,po s m p are pairwise distinct. If any position of the string doesn't appear in the investors demands then any letter can go in this position.",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
49,101/E," The first line contains three integers n,_,_ (1___,___20000, 1_____109). The second line contains n integers x0, x1, ..., xn-1 (0___i__20000). The third line contains m integers y0, y1, ..., ym-1 (0___i__20000). The value of f(a,_) is calculated as a remainder of the division of the sum xa+_b by number p.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
