,Unnamed: 0,BID,Plot,math,dp,implementation,greedy,data structures,sortings,dfs,graphs,trees,constructive algorithms,brute force,strings,binary search,number theory,geometry
0,0,1/A,theatre square capital city berland ha rectangular shape size n meter occasion city anniversary decision wa taken pave square square granite flagstone flagstone size least flagstone needed pave square allowed cover surface larger theatre square square ha covered allowed break flagstone side flagstone parallel side square input contains positive write needed flagstone,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,10/B,cinema hall berland rectangle row seat odd row seat numbered safety reason people come box office buy ticket allowed choose seat formerly choice wa made cashier responsibility special seating program wa found large majority berland inhabitant cinema order watch movie want sit close hall center possible moreover company people come watch movie want necessarily occupy successive seat row let formulate algorithm according program chooses seat sell ticket request seat come program determine row segment seat row possible variant final result program choose minimum function value total seat remoteness center say row seat central seat function value seat remoteness hall center amount minimum function value program choose closer screen row lower variant still multiple choose minimum get task simulate work program contains amount request hall size respectively second contains space separated range request program output output without quote impossible find successive seat row otherwise output separate space,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2,2,10/D,problem differs wa online contest sequence called increasing sequence called subsequence sequence exist set index k aij word sequence derived sequence crossing element given sequence find longest common increasing subsequence increasing sequence maximum length subsequence sequence contains length sequence second contains space separated range element sequence third contains length second sequence fourth contains space separated range element second sequence output length longest common increasing subsequence second output subsequence separate element space several solution output,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,1000/A,codehorses ha hosted second codehorses cup year previous organizer giving shirt winner valid size shirt either followed example size xx xxxl valid xxxxl winner cup previous year current year ksenia ha list shirt size printed last year cup send new list printing office organizer want distribute prize soon possible ksenia required write whole list scratch make change list previous year second choose arbitrary position word replace character uppercase latin letter ksenia remove add letter word minimal second ksenia required spend change last year list current list unordered mean list considered equal occurrence string list contains shirt next contains size shirt list previous year next contains size shirt list current year guaranteed size input valid guaranteed ksenia produce list list print minimal second ksenia required spend change last year list current list already equal print,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
4,4,1000/B,recently bought brand new smart lamp programming feature set schedule lamp every day turn power moment turn power moment moreover lamp allows set program switching state state light light unfortunately program already installed lamp lamp allows good program good program represented non empty array must course preinstalled program good program lamp follows program next manner moment turn power light moment lamp flip state opposite wa lit turn vice versa state lamp flip instantly example turn light moment nothing total time lamp lit finally moment lamp turning power regardless state since people read instruction understand language written realize testing possible way alter preinstalled program insert element program still good program alteration insertion done pair consecutive element even begining end find way alter program total time lamp lit maximum possible maybe leave program untouched lamp lit till moment lit unit time segment time lamp lit summed contains space separated length program moment power turn second contains space separated initially installed program print maximum possible total time lamp lit,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,5,1000/C,given segment coordinate endpoint every segment ha coordinate segment degenerate point segment intersect nested even coincide task following every calculate point coordinate segment cover point equal segment endpoint cover point input contains segment next segment contains pair endpoint segment print space separated equal point segment cover point equal,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
6,6,1000/D,sequence called good array example sequence good array sequence sequence called good divided positive good array good array subsegment sequence element sequence belong exactly array example sequence good sequence given sequence count subsequence good sequence print subsequence modulo contains length initial sequence following contains sequence single output subsequence original sequence good sequence taken modulo,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,1000/E,friend developing computer game ha already decided game world look like consist location connected way passage passage designed way possible get location location course passage guarded monster everywhere without difficulty fun right crucial passage guarded really fearsome monster requiring hero prepare battle designing tactic defeating commonly kind monster called boss friend want help place boss game start location end location location chosen choosing location friend place bos passage impossible get without using passage friend want place much boss possible challenge mean fun right asks help determine maximum possible boss considering location chosen contains n location passage respectively follow containing describing endpoint passage guaranteed pair location directly connected passage location reachable location print maximum boss friend place considering possible choice,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
8,8,1000/F,given array consisting query query denoted query find occurs exactly subarray index index subarray contiguous subsegment array example query subarray interested possible answer query subarray interested element occurs exactly answer query contains second contains third contains follow containing representing query answer query follows,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9,9,1000/G,given weighted tree undirected connected graph cycle loop multiple edge vertex edge ha weight vertex ha value assigned let call path starting vertex ending vertex edge appear twice regardless direction path vertex appear path multiple time even start end vertex path profit vistinct vertex eistinct edge time edge appears vertex counted edge counted time appear answer query query pair vertex query find path maximal profit contains vertex tree query second contains space separated value vertex next description edge contains space separated edge weight tree next query per query contains endpoint path need find query print per maximal profit path corresponding endpoint,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
10,10,1003/A,polycarp ha coin value coin polycarp want distribute coin pocket put coin value pocket example polycarp ha got coin represented array distribute coin pocket follows polycarp want distribute coin minimum used pocket help input contains coin second input contains value coin print minimum pocket polycarp need distribute coin coin value put pocket,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,11,1003/B,given task construct binary string length exactly exactly exactly index guaranteed answer always exists example string index string index recall binary string non empty sequence character character either input contains b print string binary string satisfying condition described guaranteed answer always exists,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12,12,1003/C,heat last day ha really intense scientist berland study temperature weather change claim summer abnormally hot scientific claim sound lot reasonable involved decided actually calculate value would represent high temperature mathematician berland state university came special heat intensity value value calculated follows suppose want analyze segment consecutive day measured temperature day temperature day equal denote average temperature segment consecutive day arithmetic mean temperature measure segment day want analyze average temperature day day calculate note division performed without rounding heat intensity value maximum average temperature segment le consecutive day example analyzing measure interested segment want find maximum value average temperature segment hired berland state university write program would compute heat intensity value given period day task contains day given period minimum day segment consider calculating heat intensity value respectively second contains temperature measure given day print real heat intensity value maximum average temperature segment le consecutive day,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
13,13,1003/D,polycarp ha coin value coin guaranteed value power non negative polycarp want know answer query query described answer query minimum coin necessary obtain value using subset coin polycarp use coin ha polycarp obtain value answer query query independent answer query affect polycarp coin input contains coin query second input contains value coin guaranteed power non negative next contains value query print must equal answer query polycarp obtain value answer query,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14,14,1003/E,given task construct undirected tree vertex diameter degree vertex say impossible undirected tree connected undirected graph edge diameter tree maximum length simple path path vertex appears pair vertex tree degree vertex edge incident vertex vertex edge belong tree vertex tree input contains tree satisfying condition print word without quote,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
15,15,1003/F,given text consisting space separated word exactly space character pair adjacent word space word space last word length text letter space word text word consist lowercase latin letter let denote segment word sequence word segment word considered equal every example text segment equal correspond word abbreviation replacement segment word uppercase letter order perform abbreviation choose least non intersecting equal segment word replace chosen segment string consisting letter word segment written uppercase example text replace segment word abbreviation aaa obtain text aaa aaa replace segment word abbreviation aaab obtain text aaab aaab minimum length text abbreviation input contains word text next contains space separated word text word consists lowercase latin letter guaranteed length text doe exceed print minimum length text abbreviation,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
16,16,1004/A,sonya decided hotel business best way earning money profit rest wherever want country sonya life endless city coordinate ha hotel hotel located city coordinate sonya smart girl doe open hotel city sonya understands business need expanded opening new hotel decides build want make minimum distance hotel others equal girl understands many possible location construct hotel thus want know possible coordinate city build new hotel sonya lounging jacuzzi hotel asking find city build new hotel minimum distance original hotel new equal contains sonya hotel needed minimum distance new hotel others second contains different strictly increasing order coordinate sonya hotel print city sonya build new hotel minimum distance hotel others equal,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17,17,1004/B,sonya decided organize exhibition flower since girl like rose lily decided kind flower exhibition flower row exhibition sonya put either rose lily position thus position exactly flower rose lily know exactly people visit exhibition visitor visit flower inclusive girl know segment ha beauty equal product rose lily sonya want exhibition liked lot people want put flower way sum beauty segment would maximum possible contains flower visitor respectively next contains meaning visitor visit flower inclusive print string character symbol want put rose position otherwise want put lily,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0
18,18,1004/C,since sonya interested robotics decided construct robot read recognize sonya ha drawn row located position ha put robot end row left right last sonya give robot either different run robot running moving toward another robot reading row robot reading equal wa given robot turn stay position sonya doe want robot break give robot stop meet girl want stop different position robot left second example written sonya give robot second robot stop position second position case robot meet result robot broken sonya give robot second meet since robot stop position second position sonya understands doe make sense give written row robot find meet robot sonya interested finding different pair give robot meet word want know pair give robot second pair different unfortunately sonya busy fixing robot broke failed launch asking find pair give robot meet contains single row second contains row print possible pair sonya give robot meet,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
19,19,1004/D,since sonya ha learned basic matrix decided play little bit sonya imagined new type matrix called rhombic matrix matrix exactly cell manhattan distance cell containing cell equal form rhombus sonya called type manhattan distance cell defined example manhattan distance cell equal example rhombic matrix note rhombic matrix uniquely defined coordinate cell containing drew nm rhombic matrix belief recreate matrix give element matrix arbitrary order sequence note sonya give sequence matrix disposal write program find nm rhombic matrix whose element element sequence order contains single cell matrix second contains value cell arbitrary order print positive nm size matrix,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
